datetime;consommation;thermique;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques
2014-03-04;158303.0;4658.0;0.0;7468.0;517.0;5528.0;-51.0;1611.0;138582.0
2014-03-05;145257.0;3781.0;0.0;2028.0;1257.0;5092.0;-127.0;1575.0;131658.0
2014-03-06;147578.0;3736.0;0.0;3684.0;1181.0;4802.0;-308.0;1591.0;132894.0
2014-03-07;146058.0;3811.0;0.0;3917.0;596.0;4133.0;-375.0;1688.0;132286.0
2014-03-08;118876.0;3875.0;0.0;10863.0;1430.0;3095.0;-416.0;1746.0;98285.0
2014-03-09;104760.0;3807.0;0.0;13071.0;1456.0;1912.0;-418.0;1830.0;83107.0
2014-03-10;125873.0;3785.0;0.0;5029.0;1273.0;1283.0;-264.0;1796.0;112968.0
2014-03-11;133901.0;3820.0;0.0;13552.0;915.0;1316.0;-245.0;1707.0;112836.0
2014-03-12;136451.0;3668.0;0.0;3515.0;1071.0;1772.0;-303.0;1699.0;125030.0
2014-03-13;136064.0;3670.0;0.0;497.0;1197.0;2285.0;-358.0;1714.0;127056.0
2014-03-14;138709.0;3741.0;0.0;1883.0;911.0;2981.0;-327.0;1678.0;127840.0
2014-03-15;117712.0;3794.0;0.0;4290.0;1043.0;4051.0;-377.0;1761.0;103148.0
2014-03-16;108648.0;3907.0;0.0;3049.0;1227.0;4381.0;-328.0;1759.0;94665.0
2014-03-17;127926.0;3813.0;0.0;424.0;633.0;4691.0;-254.0;1615.0;117003.0
2014-03-18;137391.0;4599.0;0.0;4431.0;675.0;4505.0;-152.0;1533.0;121803.0
2014-03-19;134454.0;3872.0;0.0;964.0;1402.0;4559.0;-145.0;1442.0;122347.0
2014-03-20;135535.0;3859.0;0.0;13971.0;1132.0;4565.0;-190.0;1516.0;110683.0
2014-03-21;132962.0;3869.0;0.0;12375.0;1272.0;4679.0;-302.0;1570.0;109514.0
2014-03-22;125034.0;3913.0;0.0;15897.0;1093.0;4316.0;-353.0;1579.0;98581.0
2014-03-23;122821.0;3946.0;0.0;11955.0;1243.0;3491.0;-406.0;1564.0;101031.0
2014-03-24;149036.0;3847.0;0.0;9142.0;553.0;2015.0;-263.0;1506.0;132238.0
2014-03-25;146406.0;3883.0;0.0;7800.0;778.0;1942.0;-281.0;1452.0;130831.0
2014-03-26;141357.0;3882.0;0.0;8281.0;1200.0;2195.0;-399.0;1532.0;124673.0
2014-03-27;152675.0;3879.0;0.0;1443.0;461.0;2664.0;-337.0;1486.0;143063.0
2014-03-28;154273.0;3869.0;0.0;2668.0;838.0;3205.0;-170.0;1582.0;142279.0
2014-03-29;123254.0;3890.0;0.0;8360.0;1239.0;3631.0;-46.0;1730.0;104446.0
2014-03-30;104983.0;3834.0;0.0;9649.0;1355.0;3761.0;-45.0;1797.0;84631.0
2014-03-31;121782.0;3655.0;0.0;4676.0;1018.0;4016.0;-49.0;1754.0;106712.0
2014-04-01;125504.0;806.0;0.0;9632.0;1213.0;3836.0;-47.0;1369.0;108690.0
2014-04-02;120497.0;11.0;0.0;8253.0;802.0;3789.0;-49.0;1470.0;106210.0
2014-04-03;122633.0;3.0;0.0;1264.0;761.0;3528.0;-46.0;1412.0;115696.0
2014-04-04;120479.0;4.0;0.0;3208.0;1128.0;3225.0;-113.0;1411.0;111591.0
2014-04-05;105220.0;5.0;0.0;7050.0;622.0;2845.0;-242.0;1372.0;93555.0
2014-04-06;96852.0;3.0;0.0;14291.0;562.0;2130.0;-262.0;1395.0;78717.0
2014-04-07;121247.0;46.0;0.0;14296.0;408.0;1414.0;-232.0;1343.0;103958.0
2014-04-08;129806.0;10.0;0.0;5516.0;1161.0;927.0;-174.0;1247.0;121101.0
2014-04-09;129526.0;8.0;0.0;1307.0;1519.0;967.0;-209.0;1302.0;124613.0
2014-04-10;125606.0;408.0;0.0;4398.0;1641.0;1036.0;-180.0;1295.0;116991.0
2014-04-11;121539.0;7.0;0.0;8456.0;1501.0;1531.0;-227.0;1367.0;108887.0
2014-04-12;104683.0;20.0;0.0;3166.0;1505.0;1747.0;-45.0;1399.0;96874.0
2014-04-13;98108.0;16.0;0.0;1413.0;902.0;2086.0;-42.0;1388.0;92338.0
2014-04-14;119517.0;278.0;0.0;5000.0;1678.0;2704.0;-156.0;1387.0;108615.0
2014-04-15;120860.0;14.0;0.0;13843.0;1896.0;3153.0;-173.0;1351.0;100768.0
2014-04-16;121646.0;12.0;0.0;7827.0;1879.0;3217.0;-143.0;1364.0;107470.0
2014-04-17;116816.0;272.0;0.0;2588.0;1815.0;3364.0;-106.0;1351.0;107518.0
2014-04-18;113470.0;16.0;0.0;6454.0;1614.0;3340.0;-45.0;1269.0;100816.0
2014-04-19;104249.0;15.0;0.0;8936.0;1414.0;3232.0;-100.0;1335.0;89409.0
2014-04-20;105527.0;15.0;0.0;4883.0;321.0;3034.0;-163.0;1427.0;95995.0
2014-04-21;102940.0;14.0;0.0;1999.0;1092.0;2630.0;-262.0;1392.0;96065.0
2014-04-22;122633.0;16.0;0.0;4015.0;1046.0;2101.0;-293.0;1266.0;114470.0
2014-04-23;127150.0;19.0;0.0;6247.0;669.0;1723.0;-332.0;892.0;117912.0
2014-04-24;125704.0;12.0;0.0;1138.0;1257.0;1842.0;-371.0;1103.0;120703.0
2014-04-25;120112.0;52.0;0.0;7585.0;1304.0;2135.0;-310.0;1116.0;108209.0
2014-04-26;104865.0;16.0;0.0;23192.0;1340.0;2568.0;-46.0;1199.0;76584.0
2014-04-27;100848.0;8.0;0.0;21220.0;966.0;2577.0;-45.0;1307.0;74802.0
2014-04-28;119232.0;32.0;0.0;6213.0;1081.0;3281.0;-45.0;1251.0;107412.0
2014-04-29;120911.0;48.0;0.0;698.0;1061.0;3514.0;-49.0;1179.0;114475.0
2014-04-30;119695.0;83.0;0.0;2051.0;1314.0;3633.0;-49.0;1294.0;111367.0
2014-05-01;94318.0;10.0;0.0;7935.0;911.0;3613.0;-130.0;1446.0;80504.0
2014-05-02;107655.0;6.0;0.0;5078.0;940.0;3812.0;-232.0;1349.0;96679.0
2014-05-03;98376.0;13.0;0.0;3478.0;1524.0;4046.0;-316.0;1409.0;88219.0
2014-05-04;89501.0;12.0;0.0;2324.0;1843.0;3456.0;-387.0;1497.0;80741.0
2014-05-05;108253.0;6.0;0.0;8817.0;1491.0;2292.0;-343.0;1466.0;94497.0
2014-05-06;111196.0;16.0;0.0;9690.0;963.0;1299.0;-190.0;1407.0;97992.0
2014-05-07;110439.0;11.0;0.0;9451.0;1299.0;941.0;-158.0;1272.0;97611.0
2014-05-08;94848.0;10.0;0.0;15371.0;445.0;926.0;-282.0;1346.0;77007.0
