;ff;ff;ff;ff;precip;precip;precip;precip;hu;hu;hu;hu;t;t;t;t
;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum
datetime;;;;;;;;;;;;;;;;
2016-01-29;0.0;6.644301372778546;15.6;62436.5;0.0;0.0022118247554232242;2.2;20.8;66.0;85.85655021834062;100.0;786446.0;272.35;282.97604771784233;286.35;2727889.1
2016-01-30;0.0;6.189568120175255;17.4;59333.2;0.0;0.04513999787075482;3.7;424.0;71.0;91.87673871174835;100.0;858680.0;279.25;282.5742825157745;285.35;2776574.9
2016-01-31;0.0;7.100666736118346;16.4;68159.3;0.0;0.00957886920547364;0.4;90.30000000000001;71.0;93.37108665455712;100.0;873860.0;279.55;284.7938764102043;288.15;2802086.95
2016-02-01;1.3;6.319213424226533;12.7;60253.7;0.0;0.0017678627801746818;0.2;16.8;72.0;88.23597952738757;100.0;810271.0;282.25;284.605220087425;286.75;2799661.55
2016-02-02;0.0;5.453470959460905;15.2;50984.5;0.0;0.022158911047799938;2.7;210.0;57.0;88.2359575409111;100.0;798006.0;277.45;282.99258516002885;287.05;2749838.95
2016-02-03;0.0;5.335882918491614;20.5;49949.2;0.0;0.004776433456075749;0.8;45.4;46.0;74.10133822577164;100.0;686623.0;272.55;279.7306484711676;284.85;2726254.9
2016-02-04;0.0;4.40020852882911;12.6;42202.4;0.0;0.001397288842544317;0.2;13.4;68.0;92.08095390867287;100.0;861049.0;272.15;282.777199674499;285.95;2779982.65
2016-02-05;0.0;4.850501107711784;15.6;45977.9;0.0;0.0008430814627463379;0.2;8.0;68.0;87.3221127827687;100.0;806769.0;281.05;283.19392427204446;286.05;2752361.75
2016-02-06;1.3;8.797863832473956;24.4;83606.1;0.0;0.04925294612794613;3.3;468.1;57.0;83.80438302925619;100.0;776280.0;276.85;283.2837370419789;286.75;2760033.45
2016-02-07;0.7;7.8344944057420305;22.5;74224.0;0.0;0.02519518885840895;2.1;238.8;54.0;82.30661756742121;100.0;759937.0;275.45;281.19342186534897;285.85;2731512.9
2016-02-08;1.1;10.18965110037574;24.4;94916.6;0.0;0.034158784142841965;1.8;321.40000000000003;53.0;76.89196555107381;100.0;705330.0;278.35;282.2912307054802;286.35;2724957.25
2016-02-09;0.0;7.540455871232581;29.4;69802.0;0.0;0.08348778433024433;2.7;792.8000000000001;56.0;85.7524035864751;100.0;793810.0;273.55;279.2832545958714;286.15;2719381.05
2016-02-10;0.0;4.46427366645583;19.0;42348.1;0.0;0.007144355853965591;1.6;68.10000000000001;48.0;77.03002037096601;100.0;718459.0;270.75;277.7893392474763;283.15;2724280.05
2016-02-11;0.0;2.703002502085071;10.5;25927.2;0.0;0.016412930135557873;1.6;157.4;50.0;83.24903640256959;100.0;777546.0;269.25;277.88022782750204;285.35;2732118.4
